# NEA PSCompPars snapshot, regenerated 2026-05-13 00:30 UTC
# Source: NASA Exoplanet Archive Composite Parameters (DOI: 10.26133/NEA13)
# Count: 6286 planets
# Columns: pl_name | hostname | st_teff | st_logg | st_met (tab-separated)
# Used by sco-ldc as a fallback when the live NEA fetch fails.
GJ 2030 c	GJ 2030	5485.0	3.71944	-0.4
GJ 2056 b	GJ 2056	4069.95	4.48062	
GJ 2126 b	GJ 2126	4159.0	4.527	0.6
GJ 229 A c	GJ 229	3564.0	4.69496	
GJ 229 b	GJ 229	3564.0	4.69496	
GJ 238 b	GJ 238	3485.0	4.85243	0.15
GJ 251 b	GJ 251	3342.0	4.87	0.07
GJ 251 c	GJ 251	3342.0	4.87	0.07
GJ 27.1 b	GJ 27.1	3542.0	4.72092	
GJ 273 b	GJ 273	3382.0	4.90868	0.09
GJ 273 c	GJ 273	3382.0	4.90868	0.09
GJ 3021 b	GJ 3021	5540.0	4.7	0.1
GJ 3082 b	GJ 3082	3910.0	4.76801	
GJ 3090 b	GJ 3090	3707.0	4.727	0.12
GJ 3090 c	GJ 3090	3707.0	4.727	0.12
GJ 3138 b	GJ 3138	3717.0	4.62872	-0.3
GJ 3138 c	GJ 3138	3717.0	4.62872	-0.3
GJ 3138 d	GJ 3138	3717.0	4.62872	-0.3
GJ 317 b	GJ 317	3496.0	4.822436	-0.02
GJ 317 c	GJ 317	3496.0	4.822436	-0.02
GJ 3222 b	GJ 3222	5257.46	4.43	0.16
GJ 328 b	GJ 328	3897.0	4.64	-0.06
GJ 328 c	GJ 328	3897.0	4.64	-0.06
GJ 3293 b	GJ 3293	3466.0	4.78125	0.02
GJ 3293 c	GJ 3293	3466.0	4.78125	0.02
GJ 3293 d	GJ 3293	3466.0	4.78125	0.02
GJ 3293 e	GJ 3293	3466.0	4.78125	0.02
GJ 3323 b	GJ 3323	3159.0		-0.27
GJ 3323 c	GJ 3323	3159.0		-0.27
GJ 3341 b	GJ 3341	3526.0	4.76852	-0.09
GJ 338 B b	GJ 338 B	4014.0	4.68	-0.03
GJ 341 b	GJ 341	3770.0	4.72	-0.16
GJ 3470 b	GJ 3470	3600.0	4.695	0.2
GJ 3473 b	GJ 3473	3347.0	4.81	0.11
GJ 3473 c	GJ 3473	3347.0	4.81	0.11
GJ 3512 b	GJ 3512	3141.0	5.1582	-0.07
GJ 3512 c	GJ 3512	3141.0	5.1582	-0.07
GJ 357 b	GJ 357	3505.0	4.94	-0.12
GJ 357 c	GJ 357	3505.0	4.94	-0.12
GJ 357 d	GJ 357	3505.0	4.94	-0.12
GJ 3634 b	GJ 3634	3517.0	4.77636	
GJ 367 b	GJ 367	3522.0	4.776	-0.01
GJ 367 c	GJ 367	3522.0	4.776	-0.01
GJ 367 d	GJ 367	3522.0	4.776	-0.01
GJ 3779 b	GJ 3779	3324.0	5.05	0.0
GJ 3929 b	GJ 3929	3384.0	4.89	-0.02
GJ 3929 c	GJ 3929	3384.0	4.89	-0.02
GJ 393 b	GJ 393	3579.0	4.88	-0.09
GJ 3942 b	GJ 3942	3867.0	4.65	-0.04
GJ 3988 b	GJ 3988	3273.0	4.92	-0.12
GJ 3998 b	GJ 3998	3726.0	4.75	-0.13
GJ 3998 c	GJ 3998	3726.0	4.75	-0.13
GJ 3998 d	GJ 3998	3726.0	4.75	-0.13
GJ 411 b	GJ 411	3719.0	4.895	-0.3621
GJ 414 A b	GJ 414 A	4120.0	4.65	0.24
GJ 414 A c	GJ 414 A	4120.0	4.65	0.24
